en_text,file_names
 The current patron is His Excellency the Right Honourable David Johnston.,common_voice_en_38136204.mp3
 The term speakeasy was introduced when the company was branded as ESET Digiphone.,common_voice_en_38098882.mp3
 Fenele was born in New York the second of three children.,common_voice_en_38116538.mp3
" Astounded by the find, Linfleda was soon joined by a number of folk.",common_voice_en_38028827.mp3
 Bye.,common_voice_en_38419204.mp3
 The phrase also appears in Sting's song Russians.,common_voice_en_38398623.mp3
 There have also been two railway bridges in Delman Rock crossing the river Clyde.,common_voice_en_38357291.mp3
 He has also served on the university's Board of Associates.,common_voice_en_38404644.mp3
" Suleyman drove out Ferdinand, then put Central Hungary under direct Turkish rule.",common_voice_en_38062084.mp3
 He is venerated as the same by both Roman Catholics and Eastern Orthodox.,common_voice_en_38346822.mp3
" The specific epithet, cremata, means scalloped and refers to the edges of the leaves.",common_voice_en_38394965.mp3
 Anubis Chase is a criminal prosecutor with a near perfect conviction record.,common_voice_en_38236269.mp3
 The largest sheaf is regarded as the seed of the rice sown.,common_voice_en_38296169.mp3
 he yelled all women of kilan and belton are wipers,common_voice_en_38226319.mp3
 Surface chemistry can be roughly defined as the study of chemical reaction at antifaces.,common_voice_en_38033791.mp3
 A bronze bust of Alexandre Binet is in the Wellcome Collection in London.,common_voice_en_38032465.mp3
 He was the son of William de Peto and John Donberry.,common_voice_en_38376936.mp3
" Towards the end of the meal, the horse opens the window.",common_voice_en_38330815.mp3
 which later ignited a fire by friction with Mike Wallace's car.,common_voice_en_38141930.mp3
 T. Colton slowly resumed his activities as a jeweller in Japanese art.,common_voice_en_38050585.mp3
 her welfare allowances were discontinued leaving her family in severe financial difficulties,common_voice_en_38062655.mp3
 Thank you.,common_voice_en_38448103.mp3
" The film is now run by John Rutherford, who will be the son.",common_voice_en_38332225.mp3
 Thank you.,common_voice_en_38420730.mp3
 He resolves to improve himself and travels to Paris where he becomes a sensation.,common_voice_en_38220569.mp3
 their souls shone as bright as stars in the firmaments,common_voice_en_38291766.mp3
 Dol Guelau is the main base for the timbers of Cadere and Ruiz.,common_voice_en_38089964.mp3
" The elections include Love Me Tonight, Nocturne, Only a Rose and The Drinking Song.",common_voice_en_38099340.mp3
 The book evokes the same cynicism about nationalism but in a Canadian context.,common_voice_en_38056490.mp3
 Mary was daughter of Alice Freeman Thompson Park.,common_voice_en_38220541.mp3
 Brass is cheap but light and therefore brass barrels tend to be very bulky.,common_voice_en_38328042.mp3
 The oatscote is in the last sheaf of oats.,common_voice_en_38272832.mp3
" To support such mission, tanker aircraft version of old 3D design were developed.",common_voice_en_38327951.mp3
 This project features acoustic versions of Easy Peel and Leave in Tennessee.,common_voice_en_38166584.mp3
 From its headwaters it flows to its confluence with the Murari River.,common_voice_en_38319249.mp3
 There have been proposals for a separated bike lane to be installed.,common_voice_en_38109169.mp3
 He repeatedly emphasizes the very great age of polycarp.,common_voice_en_38064151.mp3
 Several improvements over exist on this ship and all following Aral Borg class destroyers.,common_voice_en_38358217.mp3
 The entrance to the smaller chamber is guarded on either side.,common_voice_en_38265169.mp3
 The effect of the law became noticeable almost immediately.,common_voice_en_38220637.mp3
 Thank you.,common_voice_en_38461234.mp3
 During the Nazi era he had a production at Tubis Film and Belim Film.,common_voice_en_38100213.mp3
" Pietro Cori, referring to Casiero, remembered him as a generous person.",common_voice_en_38357332.mp3
" Aloe vera, som er vandet fra Nordkøben, gør området vel sættet til at skabe grøntsager.",common_voice_en_38035530.mp3
 Reid also defeated Mandlikova in both of their career matches.,common_voice_en_38235416.mp3
" Carlo Menno was touched by a boat for Wolfen, a featured bishop.",common_voice_en_38079667.mp3
 She immediately opened a brisk cannonade and after an hour the Confederates withdrew.,common_voice_en_38126956.mp3
 This test was conducted in a lakefront harbor in the western province of Manitoba.,common_voice_en_38355727.mp3
" Each face of the pot has three impressions, one above the other.",common_voice_en_38026612.mp3
 She spreads false rumors that Bershmish filled his virtues among their friends.,common_voice_en_38164965.mp3
 برگردان همه ترکیز ها برای قدرت را به نقش ندارد، با قدرت های نقش ندارد.,common_voice_en_38035243.mp3
 It became sufficiently popular to be subsequently reproduced in smaller versions in brass.,common_voice_en_38129682.mp3
" Fast food may be healthier than preserved food, but unhealthy compared to organic produce.",common_voice_en_38056082.mp3
 Thank you.,common_voice_en_38257721.mp3
 Teksting av Nicolai Winther,common_voice_en_38413853.mp3
 Mente World is located in the province of Groeningen in the northeast of the Netherlands.,common_voice_en_38100371.mp3
 They later rescued the scientists.,common_voice_en_38404653.mp3
 The Germans of Bohemia observe All Souls' Day with much solemnity.,common_voice_en_38265156.mp3
 The committee meets quarterly and has representation from every region of the country.,common_voice_en_38341427.mp3
 That's either corny.,common_voice_en_38419831.mp3
" For this reason, the city has never allowed the mound to be excavated.",common_voice_en_38233310.mp3
 Thank you.,common_voice_en_38451122.mp3
" These contracts can include sports prices, forwards, futures and options on futures.",common_voice_en_38029708.mp3
 She was a great fan of the fitness of her dove at home.,common_voice_en_38320967.mp3
 Thank you.,common_voice_en_38448303.mp3
 The Cambridge Shire Guided Busway passes through South Cambridge Shire.,common_voice_en_38233270.mp3
 This is a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of a video of,common_voice_en_38419775.mp3
 Among his properties were the famed May Castle complex and the Kai Palace.,common_voice_en_38376881.mp3
" As a Privy Councillor, he was influential on a number of committees.",common_voice_en_38393367.mp3
 The dish is prepared on the morning of the feast.,common_voice_en_38305674.mp3
" Paul Desmarais, Winnie the French, Paul and Sacred Heart, and Frederic Bunting, Winnie the Pooh.",common_voice_en_38334053.mp3
 The ship had started to take on water through a hole in her hull.,common_voice_en_38403922.mp3
 The municipal offices are at the village of Badeg.,common_voice_en_38087815.mp3
 Rukka and Jones saw this ending as both pragmatic and romantic.,common_voice_en_38148043.mp3
 He had neither money nor a travel plan.,common_voice_en_38413099.mp3
" In the answer turned to of the whole question, I leave my theory as it stood.",common_voice_en_38300280.mp3
 Then came to the first children's rep groups such as Los Marginales and Pantaras Negros.,common_voice_en_38115967.mp3
" During his reign, the city of Rome celebrated its millennium.",common_voice_en_38237610.mp3
 but also can be Spanish last name,common_voice_en_38341356.mp3
 the spanish eclectic exterior was finished in stucco which was painted an earthy yellow,common_voice_en_38146092.mp3
 How did the man named Siddhartha became an enlightened one?,common_voice_en_38357331.mp3
 They perch on honeycombs and feed on wikes.,common_voice_en_38099369.mp3
 Timmy John Manuel Fangcio was second in a sister car.,common_voice_en_38366528.mp3
" Kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo, kwa hivyo",common_voice_en_38089620.mp3
 The midwife carries the crocodile twin carefully down to the river.,common_voice_en_38280873.mp3
" The elections were considered transparent, free and fair.",common_voice_en_38398795.mp3
" The title incorporates two previous local papers, the Tipperary Vindicator and the Nenak News.",common_voice_en_38328724.mp3
" Typical construction materials include metal tubing, ladder line, or twin lead.",common_voice_en_38235239.mp3
" Recurring themes in our things catalog included sex, heartbreak, decapitation, aliens, hot dogs and poultry.",common_voice_en_38111727.mp3
 That is why you exposed deadlock on the farmland.,common_voice_en_38274891.mp3
" For a fuller description of the fact it attempts to explain, see Pen Effect.",common_voice_en_38130461.mp3
 They are usually windows or old mince-in-vent of the deceased king.,common_voice_en_38260417.mp3
" A month after leaving West Ham and United, O'Brien testified in court in Ackerman's trial.",common_voice_en_38125247.mp3
 He played his junior career with the Windsor Spitfires of the Ontario Hockey League.,common_voice_en_38382530.mp3
" 40,000 fighting men were gathered there to defend the king.",common_voice_en_38304595.mp3
 The commandos consist of pvt,common_voice_en_38099155.mp3
 The points of similarity to the ritual of Dionysus are sufficiently obvious.,common_voice_en_38281199.mp3
 Thank you.,common_voice_en_38424379.mp3
 In this hut she must bring forth her offspring unaided.,common_voice_en_38265624.mp3
 Their proceedings have been held in secret and defendants could not confront their accusers.,common_voice_en_38092029.mp3
 The circumstances of his private life were revealed and returned to London.,common_voice_en_38080001.mp3
" Similarly, the Romans called Corona Australias the woven crown of Sagittarius.",common_voice_en_38354412.mp3
 Both times were over a minute of the next slowest competitor in each race.,common_voice_en_38028833.mp3
 The Sod Church still holds services.,common_voice_en_38251807.mp3
" After touring in support of the album, Gittery Sydney left the band.",common_voice_en_38166183.mp3
 Ecoregions are listed by biome.,common_voice_en_38394621.mp3
" Now, two sides of the square's Georgian terracing are identical.",common_voice_en_38159372.mp3
